size_per_buffer_bytes,read_footprint_bytes,total_footprint_bytes,reuse_N,blocks,threads_per_block,saturated,trials,time_ms_median,time_ms_min,time_ms_max,time_ms_std,per_launch_ms_median,achieved_GBps_median,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
32768,65536,98304,1,16,256,0,10,0.008000,0.007264,0.011712,0.001593,0.008000,12.288,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,1,32,256,0,10,0.007952,0.007136,0.013184,0.001909,0.007952,12.362,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,1,64,256,1,10,0.007824,0.007008,0.011328,0.001381,0.007824,12.564,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,1,128,256,1,10,0.007744,0.007392,0.010624,0.001151,0.007744,12.694,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,1,256,256,0,10,0.008256,0.007392,0.012768,0.001673,0.008256,11.907,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,1,512,256,0,10,0.008464,0.007936,0.012576,0.001571,0.008464,11.614,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,1,1024,256,0,10,0.009728,0.009280,0.012928,0.001317,0.009728,10.105,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,2,16,256,0,10,0.012656,0.010752,0.015488,0.001368,0.006328,15.535,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,2,32,256,0,10,0.012320,0.011168,0.013920,0.001002,0.006160,15.958,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,2,64,256,0,10,0.012160,0.011072,0.017408,0.001787,0.006080,16.168,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,2,128,256,1,10,0.011904,0.010816,0.015712,0.001495,0.005952,16.516,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,2,256,256,0,10,0.012784,0.011520,0.025664,0.004016,0.006392,15.379,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,2,512,256,0,10,0.013568,0.012672,0.017728,0.001471,0.006784,14.491,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,2,1024,256,0,10,0.015968,0.014976,0.020352,0.001559,0.007984,12.313,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,4,16,256,1,10,0.019856,0.018464,0.025632,0.001906,0.004964,19.803,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,4,32,256,0,10,0.020704,0.018496,0.027264,0.002305,0.005176,18.992,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,4,64,256,1,10,0.020256,0.018784,0.026336,0.002066,0.005064,19.412,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,4,128,256,1,10,0.020144,0.018816,0.025920,0.001982,0.005036,19.520,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,4,256,256,0,10,0.021008,0.019840,0.025920,0.001669,0.005252,18.717,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,4,512,256,0,10,0.024144,0.022048,0.032448,0.002830,0.006036,16.286,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,4,1024,256,0,10,0.027184,0.026624,0.033152,0.001827,0.006796,14.465,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,8,16,256,1,10,0.035024,0.033248,0.041248,0.002082,0.004378,22.454,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,8,32,256,1,10,0.034688,0.033856,0.046592,0.003622,0.004336,22.672,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,8,64,256,1,10,0.035152,0.033760,0.043008,0.002492,0.004394,22.372,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,8,128,256,1,10,0.035312,0.033440,0.040608,0.001912,0.004414,22.271,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,8,256,256,0,10,0.036720,0.035552,0.044352,0.002500,0.004590,21.417,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,8,512,256,0,10,0.042176,0.040928,0.046944,0.001637,0.005272,18.646,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,8,1024,256,0,10,0.050464,0.049664,0.055456,0.001755,0.006308,15.584,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,16,16,256,0,10,0.066112,0.064448,0.068320,0.001254,0.004132,23.791,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,16,32,256,0,10,0.061968,0.058496,0.068736,0.002724,0.003873,25.382,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,16,64,256,1,10,0.059360,0.058432,0.064864,0.002212,0.003710,26.497,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,16,128,256,0,10,0.063632,0.059296,0.068576,0.002364,0.003977,24.718,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,16,256,256,0,10,0.069680,0.068064,0.073856,0.001561,0.004355,22.573,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,16,512,256,0,10,0.080032,0.076800,0.115712,0.010922,0.005002,19.653,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,16,1024,256,0,10,0.097824,0.096960,0.101344,0.001308,0.006114,16.079,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,32,16,256,0,10,0.128928,0.126336,0.131072,0.001661,0.004029,24.399,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,32,32,256,1,10,0.119232,0.113088,0.122816,0.002969,0.003726,26.383,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,32,64,256,1,10,0.119344,0.111808,0.123168,0.003732,0.003729,26.358,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,32,128,256,0,10,0.123712,0.119328,0.129056,0.002361,0.003866,25.428,1300,MAXN,53.0,13.2,13.2
32768,65536,98304,32,256,256,0,10,0.135872,0.134560,0.143264,0.002411,0.004246,23.152,1300,MAXN,53.0,13.2,13.2
