mode,k0_bytes,k1_bytes,blocks_k0_hint,blocks_k1_hint,threads_per_block,single_k0_GBps_ref,single_k1_GBps_ref
symmetric,131072,131072,32,32,256,50.777000,50.777000
symmetric,262144,262144,64,64,256,95.072000,95.072000
symmetric,524288,524288,64,64,256,169.198000,169.198000
symmetric,786432,786432,64,64,256,169.198000,169.198000
symmetric,917504,917504,64,64,256,273.067000,273.067000
symmetric,1048576,1048576,64,64,256,273.067000,273.067000
symmetric,1310720,1310720,64,64,256,273.067000,273.067000
symmetric,1572864,1572864,64,64,256,273.067000,273.067000
symmetric,1835008,1835008,256,256,256,154.931000,154.931000
symmetric,2097152,2097152,256,256,256,154.931000,154.931000
symmetric,2359296,2359296,256,256,256,154.931000,154.931000
symmetric,3145728,3145728,256,256,256,165.961000,165.961000
symmetric,4194304,4194304,256,256,256,171.336000,171.336000
symmetric,6291456,6291456,256,256,256,176.779000,176.779000
symmetric,12582912,12582912,256,256,256,183.731000,183.731000
symmetric,25165824,25165824,256,256,256,187.797000,187.797000
asymmetric,1048576,262144,64,64,256,273.067000,95.072000
asymmetric,1048576,524288,64,64,256,273.067000,169.198000
asymmetric,1048576,1048576,64,64,256,273.067000,273.067000
asymmetric,1048576,1572864,64,64,256,273.067000,273.067000
asymmetric,1048576,2097152,64,256,256,273.067000,154.931000
asymmetric,1048576,2621440,64,256,256,273.067000,154.931000
asymmetric,1048576,3145728,64,256,256,273.067000,165.961000
asymmetric,1048576,4194304,64,256,256,273.067000,171.336000
asymmetric,1048576,6291456,64,256,256,273.067000,176.779000
