mode,k0_bytes,k1_bytes,combined_read_footprint_bytes,blocks_k0,blocks_k1,threads_per_block,trials,wall_ms_median,agg_GBps_median,k0_GBps_median,k1_GBps_median,single_k0_GBps_ref,single_k1_GBps_ref,scaling_efficiency,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
symmetric,131072,131072,524288,64,64,256,10,0.014688,53.542,45.596,26.771,53.310,53.310,0.502180,1300,MAXN,55.5,13.2,13.2
symmetric,262144,262144,1048576,256,256,256,10,0.016416,95.813,71.442,47.906,96.000,96.000,0.499025,1300,MAXN,55.5,13.2,13.2
symmetric,524288,524288,2097152,256,256,256,10,0.017856,176.172,113.384,88.086,170.667,170.667,0.516128,1300,MAXN,55.5,13.2,13.2
symmetric,786432,786432,3145728,256,128,256,10,0.029888,157.876,88.139,78.938,170.667,170.667,0.462526,1300,MAXN,55.5,13.2,13.2
symmetric,917504,917504,3670016,256,256,256,10,0.032800,167.836,90.306,83.918,264.970,264.970,0.316708,1300,MAXN,55.5,13.2,13.2
symmetric,1048576,1048576,4194304,128,128,256,10,0.043056,146.123,78.486,73.061,264.970,264.970,0.275734,1300,MAXN,55.5,13.2,13.2
symmetric,1310720,1310720,5242880,128,256,256,10,0.051168,153.696,81.865,76.848,264.970,264.970,0.290025,1300,MAXN,55.5,13.2,13.2
symmetric,1572864,1572864,6291456,128,256,256,10,0.060576,155.791,83.214,77.895,264.970,264.970,0.293978,1300,MAXN,55.5,13.2,13.2
symmetric,1835008,1835008,7340032,1024,256,256,10,0.068400,160.966,108.640,80.483,154.142,154.142,0.522134,1300,MAXN,55.5,13.2,13.2
symmetric,2097152,2097152,8388608,1024,512,256,10,0.076480,164.526,117.624,82.263,154.142,154.142,0.533682,1300,MAXN,55.5,13.2,13.2
symmetric,2359296,2359296,9437184,1024,1024,256,10,0.083728,169.069,122.710,84.534,154.142,154.142,0.548418,1300,MAXN,55.5,13.2,13.2
symmetric,3145728,3145728,12582912,1024,1024,256,10,0.107760,175.152,130.927,87.576,165.914,165.914,0.527839,1300,MAXN,55.5,13.2,13.2
symmetric,4194304,4194304,16777216,1024,1024,256,10,0.141248,178.168,140.284,89.084,171.785,171.785,0.518577,1300,MAXN,55.5,13.2,13.2
symmetric,6291456,6291456,25165824,1024,1024,256,10,0.206144,183.118,151.801,91.559,177.364,177.364,0.516222,1300,MAXN,55.5,13.2,13.2
symmetric,12582912,12582912,50331648,512,512,256,10,0.405264,186.292,154.769,93.146,183.289,183.289,0.508192,1300,MAXN,55.5,13.2,13.2
symmetric,25165824,25165824,100663296,1024,1024,256,10,0.800400,188.649,174.131,94.325,187.603,187.603,0.502789,1300,MAXN,55.5,13.2,13.2
asymmetric,1048576,262144,2621440,256,256,256,10,0.021072,186.606,156.910,37.321,264.970,96.000,0.516957,1300,MAXN,55.5,13.2,13.2
asymmetric,1048576,524288,3145728,256,256,256,10,0.031088,151.782,104.579,50.594,264.970,170.667,0.348413,1300,MAXN,55.5,13.2,13.2
asymmetric,1048576,1048576,4194304,128,128,256,10,0.043072,146.068,77.803,73.034,264.970,264.970,0.275632,1300,MAXN,55.5,13.2,13.2
asymmetric,1048576,1572864,5242880,256,256,256,10,0.051296,153.313,80.577,91.988,264.970,264.970,0.289302,1300,MAXN,55.5,13.2,13.2
asymmetric,1048576,2097152,6291456,128,512,256,10,0.060032,157.203,70.926,104.802,264.970,154.142,0.375085,1300,MAXN,55.5,13.2,13.2
asymmetric,1048576,2621440,7340032,128,512,256,10,0.068848,159.918,67.170,114.227,264.970,154.142,0.381564,1300,MAXN,55.5,13.2,13.2
asymmetric,1048576,3145728,8388608,128,512,256,10,0.076960,163.499,67.125,122.625,264.970,165.914,0.379451,1300,MAXN,55.5,13.2,13.2
asymmetric,1048576,4194304,10485760,256,1024,256,10,0.093744,167.783,79.245,134.226,264.970,171.785,0.384158,1300,MAXN,55.5,13.2,13.2
asymmetric,1048576,6291456,14680064,256,1024,256,10,0.127360,172.896,76.860,148.197,264.970,177.364,0.390873,1300,MAXN,55.5,13.2,13.2
