mode,reuse_N,k0_bytes,k1_bytes,combined_read_footprint_bytes,blocks_k0,blocks_k1,threads_per_block,trials,wall_ms_median,agg_GBps_median,k0_GBps_median,k1_GBps_median,single_k0_GBps_ref,single_k1_GBps_ref,scaling_efficiency,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
symmetric,1,32768,32768,131072,128,128,256,10,0.015056,13.058,11.977,6.529,12.694,12.694,0.514355,1300,MAXN,55.2,13.2,13.2
symmetric,2,32768,32768,131072,128,128,256,10,0.023152,16.984,15.418,8.492,12.694,12.694,0.668982,1300,MAXN,55.2,13.2,13.2
symmetric,4,32768,32768,131072,128,128,256,10,0.038848,20.244,17.393,10.122,12.694,12.694,0.797378,1300,MAXN,55.2,13.2,13.2
symmetric,8,32768,32768,131072,128,128,256,10,0.067744,23.218,20.951,11.609,12.694,12.694,0.914517,1300,MAXN,55.2,13.2,13.2
symmetric,16,32768,32768,131072,128,128,256,10,0.126256,24.915,23.092,12.458,12.694,12.694,0.981388,1300,MAXN,55.2,13.2,13.2
symmetric,32,32768,32768,131072,128,128,256,10,0.244416,25.741,24.026,12.870,12.694,12.694,1.013895,1300,MAXN,55.2,13.2,13.2
symmetric,1,65536,65536,262144,128,128,256,10,0.013824,28.444,24.527,14.222,26.313,26.313,0.540502,1300,MAXN,55.2,13.2,13.2
symmetric,2,65536,65536,262144,128,128,256,10,0.021936,35.851,27.246,17.926,26.313,26.313,0.681245,1300,MAXN,55.2,13.2,13.2
symmetric,4,65536,65536,262144,128,128,256,10,0.036368,43.249,33.828,21.624,26.313,26.313,0.821810,1300,MAXN,55.2,13.2,13.2
symmetric,8,65536,65536,262144,128,128,256,10,0.066384,47.387,40.773,23.693,26.313,26.313,0.900445,1300,MAXN,55.2,13.2,13.2
symmetric,16,65536,65536,262144,128,128,256,10,0.123584,50.908,43.449,25.454,26.313,26.313,0.967361,1300,MAXN,55.2,13.2,13.2
symmetric,32,65536,65536,262144,128,128,256,10,0.240432,52.335,45.569,26.167,26.313,26.313,0.994463,1300,MAXN,55.2,13.2,13.2
symmetric,1,131072,131072,524288,128,64,256,10,0.014272,55.103,46.722,27.552,52.289,52.289,0.526909,1300,MAXN,55.2,13.2,13.2
symmetric,2,131072,131072,524288,128,64,256,10,0.023008,68.362,46.282,34.181,52.289,52.289,0.653690,1300,MAXN,55.2,13.2,13.2
symmetric,4,131072,131072,524288,128,64,256,10,0.037920,82.957,65.623,41.478,52.289,52.289,0.793254,1300,MAXN,55.2,13.2,13.2
symmetric,8,131072,131072,524288,128,64,256,10,0.068704,91.573,75.300,45.787,52.289,52.289,0.875646,1300,MAXN,55.2,13.2,13.2
symmetric,16,131072,131072,524288,128,64,256,10,0.128992,97.548,80.544,48.774,52.289,52.289,0.932777,1300,MAXN,55.2,13.2,13.2
symmetric,32,131072,131072,524288,128,64,256,10,0.248576,101.240,85.343,50.620,52.289,52.289,0.968081,1300,MAXN,55.2,13.2,13.2
symmetric,1,262144,262144,1048576,64,128,256,10,0.016112,97.621,70.621,48.810,97.524,97.524,0.500496,1300,MAXN,55.2,13.2,13.2
symmetric,2,262144,262144,1048576,64,128,256,10,0.024640,127.668,101.344,63.834,97.524,97.524,0.654544,1300,MAXN,55.2,13.2,13.2
symmetric,4,262144,262144,1048576,64,128,256,10,0.041744,150.715,117.308,75.358,97.524,97.524,0.772708,1300,MAXN,55.2,13.2,13.2
symmetric,8,262144,262144,1048576,64,128,256,10,0.077456,162.452,132.530,81.226,97.524,97.524,0.832884,1300,MAXN,55.2,13.2,13.2
