test_point_id,mode,config,k0_bytes,k1_bytes,combined_read_footprint_bytes,kernel_instances_in_window,distinct_greenctx,union_busy_ms,concurrent_ms,overlap_ratio,failure_reason,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version,sm_split_k0,sm_split_k1,blocks_k0,blocks_k1,threads_per_block
asym_131072,asymmetric,shared,1048576,131072,2359296,20,0,0.130400,0.000000,0.0000,,1300,MAXN,54.9,13.2,13.2,16,16,512,64,256
asym_131072,asymmetric,green,1048576,131072,2359296,20,2,0.127936,0.006944,0.0543,,1300,MAXN,54.9,13.2,13.2,12,4,64,32,256
asym_262144,asymmetric,shared,1048576,262144,2621440,20,0,0.155968,0.000000,0.0000,,1300,MAXN,54.9,13.2,13.2,16,16,256,64,256
asym_262144,asymmetric,green,1048576,262144,2621440,20,2,0.218112,0.011008,0.0505,,1300,MAXN,55.0,13.2,13.2,12,4,128,64,256
asym_524288,asymmetric,shared,1048576,524288,3145728,20,0,0.262496,0.049056,0.1869,,1300,MAXN,55.2,13.2,13.2,16,16,512,64,256
asym_524288,asymmetric,green,1048576,524288,3145728,20,2,0.298304,0.107296,0.3597,,1300,MAXN,55.1,13.2,13.2,8,8,128,128,256
sym_393216,symmetric,shared,393216,393216,1572864,20,0,0.158176,0.000160,0.0010,,1300,MAXN,55.3,13.2,13.2,16,16,2048,64,256
sym_393216,symmetric,green,393216,393216,1572864,20,2,0.172672,0.005728,0.0332,,1300,MAXN,55.0,13.2,13.2,8,8,1024,64,256
sym_458752,symmetric,shared,458752,458752,1835008,20,0,0.118176,0.000000,0.0000,,1300,MAXN,55.0,13.2,13.2,16,16,1024,64,256
sym_458752,symmetric,green,458752,458752,1835008,20,2,0.183904,0.006592,0.0358,,1300,MAXN,55.2,13.2,13.2,8,8,1024,64,256
sym_524288,symmetric,shared,524288,524288,2097152,20,0,0.126752,0.000000,0.0000,,1300,MAXN,55.3,13.2,13.2,16,16,1024,64,256
sym_524288,symmetric,green,524288,524288,2097152,20,2,0.138336,0.000000,0.0000,,1300,MAXN,55.2,13.2,13.2,8,8,256,64,256
