test_point_id,mode,k0_bytes,k1_bytes,config,sm_split_k0,sm_split_k1,blocks_k0,blocks_k1,threads_per_block,trials,plateau_reached,wall_ms_median,agg_GBps_median,k0_GBps_median,k1_GBps_median,delta_vs_shared_pct,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
sym_32768,symmetric,32768,32768,shared,16,16,512,256,256,10,0,0.014560,13.503,10.056,6.752,0.000,1300,MAXN,52.9,13.2,13.2
sym_32768,symmetric,32768,32768,green,4,12,64,96,256,10,1,0.016416,11.977,10.685,5.988,-11.301,1300,MAXN,52.9,13.2,13.2
sym_32768,symmetric,32768,32768,green,6,10,64,80,256,10,1,0.015888,12.375,11.191,6.187,-8.354,1300,MAXN,52.7,13.2,13.2
sym_32768,symmetric,32768,32768,green,8,8,64,32,256,10,1,0.016160,12.166,11.681,6.083,-9.902,1300,MAXN,52.8,13.2,13.2
sym_32768,symmetric,32768,32768,green,10,6,80,32,256,10,1,0.015760,12.475,11.681,6.238,-7.613,1300,MAXN,52.9,13.2,13.2
sym_32768,symmetric,32768,32768,green,12,4,192,64,256,10,1,0.016512,11.907,10.991,5.953,-11.820,1300,MAXN,52.7,13.2,13.2
sym_65536,symmetric,65536,65536,shared,16,16,512,64,256,10,0,0.014288,27.521,16.972,13.760,0.000,1300,MAXN,52.7,13.2,13.2
sym_65536,symmetric,65536,65536,green,4,12,32,96,256,10,1,0.016768,23.450,20.617,11.725,-14.792,1300,MAXN,52.7,13.2,13.2
sym_65536,symmetric,65536,65536,green,6,10,64,40,256,10,1,0.016016,24.551,21.260,12.276,-10.792,1300,MAXN,52.8,13.2,13.2
sym_65536,symmetric,65536,65536,green,8,8,32,32,256,10,0,0.016112,24.405,22.423,12.203,-11.322,1300,MAXN,52.8,13.2,13.2
sym_65536,symmetric,65536,65536,green,10,6,80,32,256,10,1,0.016672,23.585,21.943,11.793,-14.302,1300,MAXN,52.8,13.2,13.2
sym_65536,symmetric,65536,65536,green,12,4,192,64,256,10,1,0.016272,24.165,22.301,12.083,-12.194,1300,MAXN,52.8,13.2,13.2
