test_point_id,mode,k0_bytes,k1_bytes,config,sm_split_k0,sm_split_k1,blocks_k0,blocks_k1,threads_per_block,trials,reuse_N,wall_ms_median,agg_GBps_median,k0_GBps_median,k1_GBps_median,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
reuse32_sym_32768,symmetric,32768,32768,shared,16,16,512,128,256,10,32,0.252000,24.966,19.018,12.483,1300,MAXN,54.9,13.2,13.2
reuse32_sym_32768,symmetric,32768,32768,green,8,8,128,128,256,10,32,0.261216,24.085,21.273,12.043,1300,MAXN,54.8,13.2,13.2
reuse32_sym_65536,symmetric,65536,65536,shared,16,16,1024,256,256,10,32,0.284272,44.264,29.710,22.132,1300,MAXN,54.9,13.2,13.2
reuse32_sym_65536,symmetric,65536,65536,green,8,8,128,64,256,10,32,0.259600,48.470,41.650,24.235,1300,MAXN,55.0,13.2,13.2
reuse32_sym_131072,symmetric,131072,131072,shared,16,16,1024,128,256,10,32,0.289392,86.961,57.316,43.481,1300,MAXN,54.8,13.2,13.2
reuse32_sym_131072,symmetric,131072,131072,green,8,8,256,32,256,10,32,0.284832,88.353,65.070,44.177,1300,MAXN,54.8,13.2,13.2
reuse32_sym_262144,symmetric,262144,262144,shared,16,16,2048,64,256,10,32,0.373072,134.911,79.285,67.456,1300,MAXN,54.9,13.2,13.2
reuse32_sym_262144,symmetric,262144,262144,green,8,8,128,64,256,10,32,0.316624,158.963,122.450,79.482,1300,MAXN,54.8,13.2,13.2
reuse32_sym_327680,symmetric,327680,327680,shared,16,16,2048,64,256,10,32,0.387936,162.178,95.090,81.089,1300,MAXN,54.7,13.2,13.2
reuse32_sym_327680,symmetric,327680,327680,green,8,8,1024,128,256,10,32,0.363920,172.880,94.405,86.440,1300,MAXN,54.8,13.2,13.2
reuse32_sym_393216,symmetric,393216,393216,shared,16,16,2048,128,256,10,32,0.396464,190.427,111.900,95.214,1300,MAXN,54.8,13.2,13.2
reuse32_sym_393216,symmetric,393216,393216,green,8,8,1024,128,256,10,32,0.383152,197.043,108.623,98.522,1300,MAXN,54.7,13.2,13.2
reuse32_sym_458752,symmetric,458752,458752,shared,16,16,1024,128,256,10,32,0.345664,254.815,168.762,127.408,1300,MAXN,54.9,13.2,13.2
reuse32_sym_458752,symmetric,458752,458752,green,8,8,1024,128,256,10,32,0.371776,236.918,120.297,118.525,1300,MAXN,54.9,13.2,13.2
reuse32_sym_524288,symmetric,524288,524288,shared,16,16,1024,64,256,10,32,0.358144,281.069,183.660,140.535,1300,MAXN,54.9,13.2,13.2
reuse32_sym_524288,symmetric,524288,524288,green,8,8,256,128,256,10,32,0.384528,261.784,177.775,130.892,1300,MAXN,54.8,13.2,13.2
reuse32_sym_589824,symmetric,589824,589824,shared,16,16,1024,256,256,10,32,0.446784,253.470,157.946,126.735,1300,MAXN,54.7,13.2,13.2
