test_point_id,mode,k0_bytes,k1_bytes,config,sm_split_k0,sm_split_k1,blocks_k0,blocks_k1,threads_per_block,trials,reuse_N,wall_ms_median,agg_GBps_median,k0_GBps_median,k1_GBps_median,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
reuse_sym_32768,symmetric,32768,32768,shared,16,16,512,64,256,10,1,0.015424,12.747,10.760,6.373,1300,MAXN,55.0,13.2,13.2
reuse_sym_32768,symmetric,32768,32768,shared,16,16,512,64,256,10,2,0.022800,17.246,12.552,8.623,1300,MAXN,54.9,13.2,13.2
reuse_sym_32768,symmetric,32768,32768,shared,16,16,512,64,256,10,4,0.037696,20.862,14.769,10.431,1300,MAXN,54.8,13.2,13.2
reuse_sym_32768,symmetric,32768,32768,shared,16,16,512,64,256,10,8,0.067536,23.289,16.839,11.645,1300,MAXN,55.1,13.2,13.2
reuse_sym_32768,symmetric,32768,32768,shared,16,16,512,64,256,10,16,0.128352,24.509,18.516,12.254,1300,MAXN,55.0,13.2,13.2
reuse_sym_32768,symmetric,32768,32768,shared,16,16,512,64,256,10,32,0.252992,24.868,19.140,12.434,1300,MAXN,55.0,13.2,13.2
reuse_sym_32768,symmetric,32768,32768,green,8,8,256,64,256,10,1,0.016432,11.965,10.378,5.982,1300,MAXN,54.8,13.2,13.2
reuse_sym_32768,symmetric,32768,32768,green,8,8,256,64,256,10,2,0.024176,16.265,11.965,8.132,1300,MAXN,55.0,13.2,13.2
reuse_sym_32768,symmetric,32768,32768,green,8,8,256,64,256,10,4,0.039744,19.787,14.778,9.894,1300,MAXN,55.0,13.2,13.2
reuse_sym_32768,symmetric,32768,32768,green,8,8,256,64,256,10,8,0.071040,22.141,16.577,11.070,1300,MAXN,55.1,13.2,13.2
reuse_sym_32768,symmetric,32768,32768,green,8,8,256,64,256,10,16,0.132048,23.823,18.392,11.911,1300,MAXN,55.2,13.2,13.2
reuse_sym_32768,symmetric,32768,32768,green,8,8,256,64,256,10,32,0.256944,24.486,19.090,12.243,1300,MAXN,54.8,13.2,13.2
reuse_sym_786432,symmetric,786432,786432,shared,16,16,512,512,256,10,1,0.030848,152.963,85.880,76.481,1300,MAXN,54.8,13.2,13.2
reuse_sym_786432,symmetric,786432,786432,shared,16,16,512,512,256,10,2,0.046912,201.168,114.042,100.584,1300,MAXN,54.9,13.2,13.2
reuse_sym_786432,symmetric,786432,786432,shared,16,16,512,512,256,10,4,0.095824,196.969,111.985,98.485,1300,MAXN,54.8,13.2,13.2
reuse_sym_786432,symmetric,786432,786432,shared,16,16,512,512,256,10,8,0.186976,201.891,112.315,100.945,1300,MAXN,54.7,13.2,13.2
reuse_sym_786432,symmetric,786432,786432,shared,16,16,512,512,256,10,16,0.323904,233.086,136.344,116.543,1300,MAXN,54.9,13.2,13.2
reuse_sym_786432,symmetric,786432,786432,shared,16,16,512,512,256,10,32,0.608448,248.164,149.687,124.082,1300,MAXN,54.9,13.2,13.2
reuse_sym_786432,symmetric,786432,786432,green,8,8,512,128,256,10,1,0.032704,144.282,76.521,72.141,1300,MAXN,54.8,13.2,13.2
