test_point_id,config,large_kernel_path,blocks_k0,blocks_k1,plateau_reached
asym_00,shared,cached,512,1024,0
asym_00,shared,zerocopy,256,512,1
asym_2,shared,cached,512,1024,0
asym_2,shared,zerocopy,512,1024,1
asym_02,shared,cached,256,1024,0
asym_02,shared,zerocopy,1024,1024,0
asym_03,shared,cached,1024,1024,0
asym_03,shared,zerocopy,1024,1024,0
asym_04,shared,cached,512,1024,0
asym_04,shared,zerocopy,512,1024,0
asym_05,shared,cached,1024,1024,0
asym_05,shared,zerocopy,512,1024,0
asym_06,shared,cached,1024,1024,0
asym_06,shared,zerocopy,1024,1024,0
sym_0,shared,cached,512,512,0
sym_0,shared,zerocopy,128,512,0
sym_1,shared,cached,1024,256,0
sym_1,shared,zerocopy,512,1024,0
sym_ctx_small,shared,cached,512,1024,0
sym_ctx_small,shared,zerocopy,1024,1024,0
sym_ctx_large,shared,cached,1024,1024,0
sym_ctx_large,shared,zerocopy,1024,1024,0
