test_point_id,mode,config,sm_split,size_regime,is_anchor,k0_bytes,k1_bytes,large_kernel_id,large_kernel_path,reuse_N,blocks_k0,blocks_k1,threads_per_block,trials,plateau_reached,wall_ms_median,agg_GBps_median,k0_GBps_median,k1_GBps_median,delta_vs_cached_pct,l2_hit_rate_zc,l2_hit_rate_cached,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
asym_00,asymmetric,shared,0:0,l1,0,1048576,1572864,1,cached,1,1024,256,256,10,0,0.067377,116.722,80.379,127.337,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_00,asymmetric,shared,0:0,l1,0,1048576,1572864,1,cached,2,1024,256,256,10,0,0.109649,143.445,80.643,122.345,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_00,asymmetric,shared,0:0,l1,0,1048576,1572864,1,cached,4,1024,256,256,10,0,0.200930,156.558,75.372,117.530,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_00,asymmetric,shared,0:0,l1,0,1048576,1572864,1,cached,8,1024,256,256,10,0,0.374676,167.917,80.015,119.398,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_00,asymmetric,shared,0:0,l1,0,1048576,1572864,1,cached,16,1024,256,256,10,0,0.711878,176.757,84.056,120.674,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_00,asymmetric,shared,0:0,l1,0,1048576,1572864,1,cached,32,1024,256,256,10,0,1.391373,180.871,85.042,120.158,0.000,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_00,asymmetric,shared,0:0,l1,0,1048576,1572864,1,zerocopy,1,512,1024,256,10,0,0.069968,112.398,109.592,145.852,-3.705,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_00,asymmetric,shared,0:0,l1,0,1048576,1572864,1,zerocopy,2,512,1024,256,10,0,0.099409,158.221,89.003,132.993,10.301,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_00,asymmetric,shared,0:0,l1,0,1048576,1572864,1,zerocopy,4,512,1024,256,10,0,0.185602,169.488,104.398,131.790,8.259,NA,NA,1300,MAXN,54.8,13.2,13.2
asym_00,asymmetric,shared,0:0,l1,0,1048576,1572864,1,zerocopy,8,512,1024,256,10,0,0.343507,183.154,100.240,132.522,9.074,NA,NA,1300,MAXN,54.8,13.2,13.2
