test_point_id,mode,config,sm_split,k0_bytes,k1_bytes,large_kernel_id,large_kernel_path,reuse_N,blocks_k0,blocks_k1,threads_per_block,trials,wall_ms_median,agg_GBps_median,k0_GBps_median,k1_GBps_median,delta_vs_cached_pct,l2_hit_rate_zc,l2_hit_rate_cached,gpu_clock_mhz,power_mode,soc_temp_c,cuda_version,driver_version
asym_2,asymmetric,shared,0:0,1048576,2097152,1,cached,1,64,256,256,10,0.076865,122.776,71.132,140.484,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
asym_2,asymmetric,shared,0:0,1048576,2097152,1,cached,2,64,256,256,10,0.129009,146.303,64.631,136.344,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
asym_2,asymmetric,shared,0:0,1048576,2097152,1,cached,4,64,256,256,10,0.233329,161.783,62.899,132.118,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
asym_2,asymmetric,shared,0:0,1048576,2097152,1,cached,8,64,256,256,10,0.431380,175.014,78.999,135.726,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
asym_2,asymmetric,shared,0:0,1048576,2097152,1,cached,16,64,256,256,10,0.824422,183.152,84.349,136.753,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
asym_2,asymmetric,shared,0:0,1048576,2097152,1,cached,32,64,256,256,10,1.607676,187.843,90.803,137.580,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
asym_2,asymmetric,shared,0:0,1048576,2097152,1,zerocopy,1,64,256,256,10,0.087249,108.164,80.281,138.164,-11.902,NA,NA,1300,MAXN,52.1,13.2,13.2
asym_2,asymmetric,shared,0:0,1048576,2097152,1,zerocopy,2,64,256,256,10,0.125377,150.541,68.125,133.884,2.897,NA,NA,1300,MAXN,52.1,13.2,13.2
asym_2,asymmetric,shared,0:0,1048576,2097152,1,zerocopy,4,64,256,256,10,0.229057,164.800,64.919,132.899,1.865,NA,NA,1300,MAXN,52.1,13.2,13.2
asym_2,asymmetric,shared,0:0,1048576,2097152,1,zerocopy,8,64,256,256,10,0.429379,175.829,80.838,136.309,0.466,NA,NA,1300,MAXN,52.1,13.2,13.2
asym_2,asymmetric,shared,0:0,1048576,2097152,1,zerocopy,16,64,256,256,10,0.820582,184.010,88.732,138.243,0.468,NA,NA,1300,MAXN,52.1,13.2,13.2
asym_2,asymmetric,shared,0:0,1048576,2097152,1,zerocopy,32,64,256,256,10,1.588796,190.075,91.916,139.041,1.188,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_0,symmetric,shared,0:0,917504,917504,1,cached,1,64,64,256,10,0.065296,84.309,76.663,115.380,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_0,symmetric,shared,0:0,917504,917504,1,cached,2,64,64,256,10,0.085936,128.118,90.093,118.684,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_0,symmetric,shared,0:0,917504,917504,1,cached,4,64,64,256,10,0.128625,171.196,109.925,131.573,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_0,symmetric,shared,0:0,917504,917504,1,cached,8,64,64,256,10,0.222418,198.006,127.762,136.927,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_0,symmetric,shared,0:0,917504,917504,1,cached,16,64,64,256,10,0.404451,217.778,137.337,140.959,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_0,symmetric,shared,0:0,917504,917504,1,cached,32,64,64,256,10,0.762646,230.986,141.079,142.116,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_0,symmetric,shared,0:0,917504,917504,1,zerocopy,1,64,64,256,10,0.053744,102.430,108.538,126.031,21.494,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_0,symmetric,shared,0:0,917504,917504,1,zerocopy,2,64,64,256,10,0.080385,136.966,116.989,119.301,6.906,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_0,symmetric,shared,0:0,917504,917504,1,zerocopy,4,64,64,256,10,0.135121,162.966,123.631,120.724,-4.808,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_0,symmetric,shared,0:0,917504,917504,1,zerocopy,8,64,64,256,10,0.235922,186.673,137.832,124.638,-5.724,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_0,symmetric,shared,0:0,917504,917504,1,zerocopy,16,64,64,256,10,0.451523,195.074,133.688,121.064,-10.425,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_0,symmetric,shared,0:0,917504,917504,1,zerocopy,32,64,64,256,10,0.873190,201.744,131.964,118.576,-12.660,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_1,symmetric,shared,0:0,917504,917504,1,cached,1,64,64,256,10,0.060528,90.949,76.053,106.653,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_1,symmetric,shared,0:0,917504,917504,1,cached,2,64,64,256,10,0.086016,127.999,88.086,110.632,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_1,symmetric,shared,0:0,917504,917504,1,cached,4,64,64,256,10,0.131057,168.019,106.357,120.788,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_1,symmetric,shared,0:0,917504,917504,1,cached,8,64,64,256,10,0.243826,180.621,114.440,118.704,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_1,symmetric,shared,0:0,917504,917504,1,cached,16,64,64,256,10,0.440548,199.934,131.990,125.777,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_1,symmetric,shared,0:0,917504,917504,1,cached,32,64,64,256,10,0.860183,204.795,129.105,121.690,0.000,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_1,symmetric,shared,0:0,917504,917504,1,zerocopy,1,64,64,256,10,0.052992,103.883,139.297,123.056,14.221,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_1,symmetric,shared,0:0,917504,917504,1,zerocopy,2,64,64,256,10,0.083425,131.975,154.914,126.031,3.106,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_1,symmetric,shared,0:0,917504,917504,1,zerocopy,4,64,64,256,10,0.123569,178.201,186.283,136.968,6.060,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_1,symmetric,shared,0:0,917504,917504,1,zerocopy,8,64,64,256,10,0.221938,198.435,175.947,135.059,9.862,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_1,symmetric,shared,0:0,917504,917504,1,zerocopy,16,64,64,256,10,0.416035,211.714,170.889,134.171,5.892,NA,NA,1300,MAXN,52.1,13.2,13.2
sym_1,symmetric,shared,0:0,917504,917504,1,zerocopy,32,64,64,256,10,0.790967,222.716,180.292,134.897,8.751,NA,NA,1300,MAXN,52.1,13.2,13.2
